"hour_ist","epc","shutheight","hourly_count"
"2026-03-13 09:00:00","e00000000000000000000236","0.00",205
"2026-03-13 10:00:00","e00000000000000000000236","0.00",280
"2026-03-13 11:00:00","e00000000000000000000236","0.00",301
"2026-03-13 12:00:00","e00000000000000000000236","0.00",141
"2026-03-13 13:00:00","e00000000000000000000236","0.00",265
"2026-03-13 14:00:00","e00000000000000000000236","0.00",197
"2026-03-13 15:00:00","e00000000000000000000236","0.00",242
"2026-03-13 16:00:00","e00000000000000000000236","0.00",178
"2026-03-13 17:00:00","e00000000000000000000236","0.00",251
"2026-03-13 18:00:00","e00000000000000000000236","0.00",202
"2026-03-13 19:00:00","e00000000000000000000236","0.00",80
